  Lon    Lat    Year          Jan          Feb         Mar         Apr         May         Jun          Jul          Aug          Sep          Oct          Nov          Dec
 9.75  49.75    1980   -0.270838    -0.252782   -0.168521   -0.156484   -0.168521   -0.17454     -0.192596    -0.246763    -0.276857    -0.300931    -0.288894    -0.234726
 9.75  49.75    1981   -0.177689    -0.15992    -0.148074   -0.153997   -0.165843   -0.266534    -0.55676     -1.12537     -1.19052     -1.01283     -0.704834    -0.426454
 9.75  49.75    1982   -0.262364    -0.163249   -0.151588   -0.151588   -0.163249   -0.239043    -0.384801    -0.518898    -0.472256    -0.448935    -0.36148     -0.227382
 9.75  49.75    1983   -0.189437    -0.154994   -0.154994   -0.160735   -0.183697   -0.21814     -0.252583    -0.367393    -0.671641    -0.924223    -0.677381    -0.309988
 9.75  49.75    1984   -0.209177    -0.175257   -0.158296   -0.152643   -0.158296   -0.16395     -0.209177    -0.3279      -0.463582    -0.616225    -0.559691    -0.339207
 9.75  49.75    1985   -0.261741    -0.178207   -0.150362   -0.150362   -0.167069   -0.200483    -0.284017    -0.384259    -0.439948    -0.42881     -0.295155    -0.239466
 9.75  49.75    1986   -0.241427    -0.241427   -0.219479   -0.153635   -0.159122   -0.230453    -0.395063    -0.773664    -1.09191     -0.76269     -0.367628    -0.224966
 9.75  49.75    1987   -0.194665    -0.194665   -0.156814   -0.151406   -0.156814   -0.156814    -0.178443    -0.264961    -0.291998    -0.254147    -0.221702    -0.183851
 9.75  49.75    1988   -0.159901    -0.149241   -0.149241   -0.154571   -0.197212   -0.293152    -0.554324    -1.26322     -1.83886     -2.164       -2.15867     -1.58835
 9.75  49.75    1989   -0.951135    -0.793489   -0.23647    -0.157647   -0.157647   -0.173411    -0.24698     -0.415136    -0.588548    -0.635842    -0.467685    -0.304784
 9.75  49.75    1990   -0.222819    -0.176182   -0.155455   -0.150273   -0.155455   -0.191728    -0.259092    -0.419728    -0.720274    -1.00009     -0.96382     -0.601092
 9.75  49.75    1991   -0.365237    -0.226344   -0.169758   -0.154326   -0.185191   -0.200623    -0.288074    -0.571005    -0.992828    -1.2809      -1.13172     -0.473265
 9.75  49.75    1992   -0.214498    -0.173641   -0.153213   -0.153213   -0.168534   -0.214498    -0.265568    -0.464745    -0.786491    -0.995882    -0.842669    -0.592422
 9.75  49.75    1993   -0.583109    -0.562827   -0.212962   -0.152115   -0.172398   -0.228173    -0.370148    -0.755507    -0.745366    -0.420853    -0.339725    -0.278878
 9.75  49.75    1994   -0.206413    -0.161103   -0.151034   -0.151034   -0.176206   -0.246689    -0.483309    -1.07738     -1.44489     -1.69158     -1.28882     -0.639377
 9.75  49.75    1995   -0.424909    -0.41991    -0.249946   -0.149968   -0.154967   -0.194958    -0.304934    -0.334928    -0.394915    -0.4649      -0.344926    -0.209955
 9.75  49.75    1996   -0.168772    -0.158844   -0.148916   -0.148916   -0.173736   -0.248194    -0.397111    -0.570847    -0.709835    -0.709835    -0.412002    -0.282941
 9.75  49.75    1997   -0.231678    -0.236608   -0.177456   -0.157739   -0.162668   -0.177456    -0.197173    -0.280972    -0.335194    -0.335194    -0.271113    -0.192244
 9.75  49.75    1998   -0.166439    -0.156648   -0.146858   -0.156648   -0.190915   -0.239867    -0.401411    -0.886041    -1.11612     -1.10633     -0.96926     -0.567849
 9.75  49.75    1999   -0.320868    -0.199327   -0.170157   -0.160434   -0.199327   -0.262529    -0.486164    -1.08415     -1.74533     -2.09051     -1.77936     -1.05011
 9.75  49.75    2000   -0.506992    -0.284881   -0.217282   -0.212454   -0.31868    -0.627704    -1.07675     -1.65617     -1.85897     -1.86863     -1.18781     -0.700131
 9.75  49.75    2001   -0.51315     -0.393255   -0.263768   -0.172648   -0.191832   -0.220606    -0.369276    -0.575495    -0.954362    -1.14619     -0.963954    -0.493966
 9.75  49.75    2002   -0.247704    -0.181014   -0.157196   -0.16196    -0.157196   -0.214359    -0.423954    -0.928888    -1.17183     -1.20041     -1.13848     -0.838381
 9.75  49.75    2003   -0.477902    -0.463706   -0.260243   -0.179805   -0.184536   -0.25078     -0.345414    -0.458975    -0.544145    -0.615121    -0.52995     -0.288634
 9.75  49.75    2004   -0.197412    -0.16921    -0.15511    -0.15511    -0.15981    -0.173911    -0.235015    -0.366623    -0.517032    -0.564035    -0.451228    -0.272617
 9.75  49.75    2005   -0.219457    -0.182103   -0.149418   -0.154087   -0.172764   -0.210118    -0.340859    -0.677048    -1.12063     -1.40546     -0.952537    -0.350197
 9.75  49.75    2006   -0.222658    -0.194826   -0.148439   -0.148439   -0.162355   -0.218019    -0.259768    -0.389652    -0.807135    -1.22926     -1.0066      -0.565923
 9.75  49.75    2007   -0.294945    -0.198166   -0.161298   -0.165907   -0.207383   -0.317988    -0.709712    -1.2996      -1.93558     -2.2167      -1.74202     -0.884836
 9.75  49.75    2008   -0.412085    -0.279302   -0.192306   -0.187728   -0.238093   -0.375455    -0.837906    -1.42398     -1.66665     -1.8727      -1.47435     -0.732595
 9.75  49.75    2009   -0.313902    -0.200169   -0.154676   -0.154676   -0.172874   -0.222916    -0.400339    -0.878016    -1.49672     -1.79243     -1.24196     -0.623255
 9.75  49.75    2010   -0.357101    -0.194371   -0.153689   -0.149169   -0.158209   -0.207932    -0.311898    -0.6916      -1.16171     -1.40128     -1.19335     -0.560513
 9.75  49.75    2011   -0.275736    -0.158209   -0.153689   -0.149169   -0.153689   -0.158209    -0.16725     -0.216973    -0.262175    -0.271216    -0.230533    -0.185331
 9.75  49.75    2012   -0.158209    -0.153689   -0.153689   -0.153689   -0.17629    -0.275736    -0.542432    -1.01706     -1.08486     -1.16623     -1.06678     -0.668999
 9.75  49.75    2013   -0.415864    -0.248615   -0.198892   -0.239574   -0.361621   -0.605715    -1.22499     -1.77646     -1.89399     -1.84427     -1.14815     -0.574074
 9.75  49.75    2014   -0.298337    -0.194371   -0.158209   -0.158209   -0.16725    -0.248615    -0.415864    -0.492709    -0.67804     -0.836249    -0.641878    -0.442986
 9.75  49.75    2015   -0.402304    -0.203412   -0.149169   -0.149169   -0.16725    -0.226013    -0.388743    -0.872411    -1.37416     -1.66346     -1.42388     -0.574074
 9.75  49.75    2016   -0.262175    -0.198892   -0.17629    -0.17629    -0.226013   -0.452026    -1.06678     -1.60017     -1.88947     -1.92111     -1.4284      -0.632837
 9.75  49.75    2017   -0.325459    -0.230533   -0.17629    -0.207932   -0.293817   -0.501749    -1.14815     -1.50073     -1.68154     -1.80359     -1.17075     -0.456547
 9.75  49.75    2018   -0.244094    -0.17629    -0.153689   -0.153689   -0.17629    -0.253135    -0.51531     -1.16171     -1.82619     -1.73578     -1.14815     -0.565033
 9.75  49.75    2019   -0.420385    -0.257655   -0.153689   -0.16273    -0.235054   -0.465587    -1.12103     -1.80359     -1.93015     -1.94823     -1.59113     -0.931174
 9.75  49.75    2020   -0.379702    -0.198892   -0.158209   -0.158209   -0.198892   -0.230533    -0.284777    -0.429425    -0.831729    -1.11651     -0.623796    -0.280256
 9.75  49.75    2021   -0.194371    -0.158209   -0.149169   -0.153689   -0.16273    -0.216973    -0.402304    -0.980897    -1.65442     -1.83975     -1.86235     -1.68154
 9.75  49.75    2022   -1.59565     -0.926654   -0.289297   -0.212452   -0.185331   -0.230533    -0.397783    -0.732283    -1.17527     -1.55949     -1.63182     -1.34252
 9.75  49.75    2023   -0.705161    -0.307378   -0.194371   -0.16273    -0.180811   -0.253135    -0.370662    -0.723242    -1.18883     -1.51881     -1.24307     -0.461067
 9.75  49.75    2024   -0.293817    -0.185331   -0.153689   -0.149169   -0.16725    -0.230533    -0.320939    -0.433945    -0.551472    -0.741323    -0.700641    -0.429425
 9.75  49.75    2025   -0.33902     -0.216973   -0.153689   -0.153689   -0.16273    -0.207932    -0.329979    -0.655438    -1.01254     -1.18431     -0.813648    -0.397783
 9.75  49.75    2026   -0.266696    -0.17629    -0.153689   -0.153689   -0.207932   -0.34806     -0.772965    -1.59113     -1.91659     -2.03412     -1.93919     -1.27471
 9.75  49.75    2027   -0.433945    -0.244094   -0.17177    -0.153689   -0.189851   -0.284777    -0.583114    -1.31992     -1.79907     -1.94371     -1.64538     -1.14363
 9.75  49.75    2028   -0.6916      -0.257655   -0.153689   -0.149169   -0.158209   -0.226013    -0.384222    -0.736803    -1.13459     -1.50073     -1.36964     -0.804607
 9.75  49.75    2029   -0.415864    -0.262175   -0.17177    -0.153689   -0.17177    -0.198892    -0.316419    -0.623796    -0.917614    -1.0487      -0.768445    -0.366141
 9.75  49.75    2030   -0.244094    -0.17177    -0.153689   -0.153689   -0.16725    -0.221493    -0.329979    -0.583114    -0.922134    -0.913093    -0.537911    -0.266696
 9.75  49.75    2031   -0.17629     -0.153689   -0.153689   -0.158209   -0.203412   -0.253135    -0.289297    -0.628317    -1.16623     -1.3606      -1.02158     -0.736803
 9.75  49.75    2032   -0.452026    -0.221493   -0.158209   -0.153689   -0.16273    -0.16273     -0.194371    -0.253135    -0.253135    -0.275736    -0.248615    -0.203412
 9.75  49.75    2033   -0.16273     -0.153689   -0.149169   -0.149169   -0.16273    -0.212452    -0.298337    -0.411344    -0.424905    -0.650918    -0.709682    -0.524351
 9.75  49.75    2034   -0.393263    -0.379702   -0.180811   -0.16273    -0.203412   -0.34354     -0.714202    -1.27471     -1.67702     -1.88947     -1.91207     -1.60017
 9.75  49.75    2035   -1.09842     -0.424905   -0.298337   -0.271216   -0.257655   -0.266696    -0.357101    -0.569553    -0.926654    -1.27923     -1.09842     -0.51531
 9.75  49.75    2036   -0.456547    -0.397783   -0.189851   -0.158209   -0.189851   -0.271216    -0.438466    -0.51079     -0.388743    -0.302858    -0.212452    -0.16725
 9.75  49.75    2037   -0.16273     -0.153689   -0.153689   -0.153689   -0.16273    -0.194371    -0.307378    -0.574074    -1.03966     -1.22951     -0.537911    -0.226013
 9.75  49.75    2038   -0.194371    -0.158209   -0.153689   -0.153689   -0.153689   -0.16725     -0.248615    -0.456547    -1.03966     -1.41936     -1.07582     -0.546952
 9.75  49.75    2039   -0.280256    -0.189851   -0.16273    -0.17177    -0.207932   -0.275736    -0.497229    -0.931174    -1.27019     -1.19787     -1.03062     -0.759404
 9.75  49.75    2040   -0.411344    -0.244094   -0.180811   -0.17629    -0.185331   -0.216973    -0.325459    -0.637357    -1.05322     -1.21143     -0.931174    -0.501749
 9.75  49.75    2041   -0.253135    -0.198892   -0.17629    -0.158209   -0.17629    -0.244094    -0.452026    -0.917614    -1.0713      -1.16171     -0.822688    -0.370662
 9.75  49.75    2042   -0.226013    -0.16725    -0.153689   -0.149169   -0.16725    -0.216973    -0.329979    -0.650918    -1.03514     -1.10746     -0.867891    -0.402304
